X,Y,Z,Yaw,Pitch,Roll
-3.73,1.3482,1,-13.08892,-2.653662,1.040266
-3.73,1.3785,1,-13.4271,-2.630935,1.064205
-3.73,1.4088,1,-13.76528,-2.608208,1.088144
-3.73,1.4391,1,-14.10346,-2.585481,1.112083
-3.73,1.4694,1,-14.44164,-2.562754,1.136022
-3.73,1.5,1,-14.78,-2.54,1.16
-3.73,1.5,0.9886364,-14.78,-2.54,1.16
-3.73,1.5,0.9772728,-14.78,-2.54,1.16
-3.73,1.5,0.9659092,-14.78,-2.54,1.16
-3.73,1.5,0.9545456,-14.78,-2.54,1.16
-3.73,1.5,0.943182,-14.78,-2.54,1.16
-3.73,1.5,0.9318184,-14.78,-2.54,1.16
-3.73,1.5,0.9204548,-14.78,-2.54,1.16
-3.73,1.5,0.9090912,-14.78,-2.54,1.16
-3.73,1.5,0.8977276,-14.78,-2.54,1.16
-3.73,1.5,0.886364,-14.78,-2.54,1.16
-3.73,1.5,0.8750004,-14.78,-2.54,1.16
-3.73,1.5,0.8636368,-14.78,-2.54,1.16
-3.73,1.5,0.8522732,-14.78,-2.54,1.16
-3.73,1.5,0.8409096,-14.78,-2.54,1.16
-3.73,1.5,0.829546,-14.78,-2.54,1.16
-3.73,1.5,0.8181824,-14.78,-2.54,1.16
-3.73,1.5,0.8068188,-14.78,-2.54,1.16
-3.73,1.5,0.7954552,-14.78,-2.54,1.16
-3.73,1.5,0.7840916,-14.78,-2.54,1.16
-3.73,1.5,0.772728,-14.78,-2.54,1.16
-3.73,1.5,0.7613644,-14.78,-2.54,1.16
-3.73,1.5,0.7500008,-14.78,-2.54,1.16
-3.73,1.5,0.7386372,-14.78,-2.54,1.16
-3.73,1.5,0.7272736,-14.78,-2.54,1.16
-3.73,1.5,0.71591,-14.78,-2.54,1.16
-3.73,1.5,0.7045464,-14.78,-2.54,1.16
-3.73,1.5,0.6931828,-14.78,-2.54,1.16
-3.73,1.5,0.6818192,-14.78,-2.54,1.16
-3.73,1.5,0.6704556,-14.78,-2.54,1.16
-3.73,1.5,0.659092,-14.78,-2.54,1.16
-3.73,1.5,0.6477284,-14.78,-2.54,1.16
-3.73,1.5,0.6363648,-14.78,-2.54,1.16
-3.73,1.5,0.6250012,-14.78,-2.54,1.16
-3.73,1.5,0.6136376,-14.78,-2.54,1.16
-3.73,1.5,0.602274,-14.78,-2.54,1.16
-3.73,1.5,0.5909104,-14.78,-2.54,1.16
-3.73,1.5,0.5795468,-14.78,-2.54,1.16
-3.73,1.5,0.5681832,-14.78,-2.54,1.16
-3.73,1.5,0.5568196,-14.78,-2.54,1.16
-3.73,1.5,0.545456,-14.78,-2.54,1.16
-3.73,1.5,0.5340924,-14.78,-2.54,1.16
-3.73,1.5,0.5227288,-14.78,-2.54,1.16
-3.73,1.5,0.5113652,-14.78,-2.54,1.16
-3.73,1.5,0.5,-14.78,-2.54,1.16
-3.73,1.469697,0.5,-14.445253,-2.437172,1.1688888
-3.73,1.439394,0.5,-14.110506,-2.334344,1.1777776
-3.73,1.409091,0.5,-13.775759,-2.231516,1.1866664
-3.73,1.378788,0.5,-13.441012,-2.128688,1.1955552
-3.73,1.348485,0.5,-13.106265,-2.02586,1.204444
-3.73,1.318182,0.5,-12.771518,-1.923032,1.2133328
-3.73,1.287879,0.5,-12.436771,-1.820204,1.2222216
-3.73,1.257576,0.5,-12.102024,-1.717376,1.2311104
-3.73,1.227273,0.5,-11.767277,-1.614548,1.2399992
-3.73,1.19697,0.5,-11.43253,-1.51172,1.248888
-3.73,1.166667,0.5,-11.097783,-1.408892,1.2577768
-3.73,1.136364,0.5,-10.763036,-1.306064,1.2666656
-3.73,1.106061,0.5,-10.428289,-1.203236,1.2755544
-3.73,1.075758,0.5,-10.093542,-1.100408,1.2844432
-3.73,1.045455,0.5,-9.758795,-0.99758,1.293332
-3.73,1.015152,0.5,-9.424048,-0.894752,1.3022208
-3.73,0.984849,0.5,-9.089301,-0.791924,1.3111096
-3.73,0.954546,0.5,-8.754554,-0.689096,1.3199984
-3.73,0.924243,0.5,-8.419807,-0.586268,1.3288872
-3.73,0.89394,0.5,-8.08506,-0.48344,1.337776
-3.73,0.863637,0.5,-7.750313,-0.380612,1.3466648
-3.73,0.833334,0.5,-7.415566,-0.277784,1.3555536
-3.73,0.803031,0.5,-7.080819,-0.174956,1.3644424
-3.73,0.772728,0.5,-6.746072,-0.072128,1.3733312
-3.73,0.742425,0.5,-6.411325,0.0307,1.38222
-3.73,0.712122,0.5,-6.076578,0.133528,1.3911088
-3.73,0.681819,0.5,-5.741831,0.236356,1.3999976
-3.73,0.651516,0.5,-5.407084,0.339184,1.4088864
-3.73,0.621213,0.5,-5.072337,0.442012,1.4177752
-3.73,0.59091,0.5,-4.73759,0.54484,1.426664
-3.73,0.560607,0.5,-4.402843,0.647668,1.4355528
-3.73,0.530304,0.5,-4.068096,0.750496,1.4444416
-3.73,0.500001,0.5,-3.733349,0.853324,1.4533304
-3.73,0.469698,0.5,-3.398602,0.956152,1.4622192
-3.73,0.439395,0.5,-3.063855,1.05898,1.471108
-3.73,0.409092,0.5,-2.729108,1.161808,1.4799968
-3.73,0.378789,0.5,-2.394361,1.264636,1.4888856
-3.73,0.348486,0.5,-2.059614,1.367464,1.4977744
-3.73,0.318183,0.5,-1.724867,1.470292,1.5066632
-3.73,0.28788,0.5,-1.39012,1.57312,1.515552
-3.73,0.257577,0.5,-1.055373,1.675948,1.5244408
-3.73,0.227274,0.5,-0.720626,1.778776,1.5333296
-3.73,0.196971,0.5,-0.385879,1.881604,1.5422184
-3.73,0.166668,0.5,-0.051132,1.984432,1.5511072
-3.73,0.136365,0.5,0.283615,2.08726,1.559996
-3.73,0.106062,0.5,0.618362,2.190088,1.5688848
-3.73,0.075759,0.5,0.953109,2.292916,1.5777736
-3.73,0.045456,0.5,1.287856,2.395744,1.5866624
-3.73,0.015153,0.5,1.622603,2.498572,1.5955512
-3.73,-0.01515,0.5,1.95735,2.6014,1.60444
-3.73,-0.045453,0.5,2.292097,2.704228,1.6133288
-3.73,-0.075756,0.5,2.626844,2.807056,1.6222176
-3.73,-0.106059,0.5,2.961591,2.909884,1.6311064
-3.73,-0.136362,0.5,3.296338,3.012712,1.6399952
-3.73,-0.166665,0.5,3.631085,3.11554,1.648884
-3.73,-0.196968,0.5,3.965832,3.218368,1.6577728
-3.73,-0.227271,0.5,4.300579,3.321196,1.6666616
-3.73,-0.257574,0.5,4.635326,3.424024,1.6755504
-3.73,-0.287877,0.5,4.970073,3.526852,1.6844392
-3.73,-0.31818,0.5,5.30482,3.62968,1.693328
-3.73,-0.348483,0.5,5.639567,3.732508,1.7022168
-3.73,-0.378786,0.5,5.974314,3.835336,1.7111056
-3.73,-0.409089,0.5,6.309061,3.938164,1.7199944
-3.73,-0.439392,0.5,6.643808,4.040992,1.7288832
-3.73,-0.469695,0.5,6.978555,4.14382,1.737772
